date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:37	60577/60577	---M-Z	200	added ('OK')	application/javascript	etag:%226503298b-40ab%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.2/js/bootstrap.min.js	C:/My%20Web%20Sites/new/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.3.2/js/bootstrap.min.js	(from https://www.orafactory.com/)
05:47:37	26945/26945	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264f2775ce96344cc2b3f4634278cb631%22	https://d16w9e5gvnj8jg.cloudfront.net/ab4090e.js	C:/My%20Web%20Sites/new/d16w9e5gvnj8jg.cloudfront.net/ab4090e.js	(from https://www.orafactory.com/)
05:47:38	0/-1	---M--	302	error ('')			https://i.postimg.cc/gkzz4X8G/fav.png	C:/My%20Web%20Sites/new/i.postimg.cc/gkzz4X8G/fav.16.delayed	(from https://www.orafactory.com/index.html)
05:47:38	6513/6513	---M--	200	added ('OK')	text/javascript	date:Sat,%2030%20Nov%202024%2019:52:56%20GMT	https://www.orafactory.com/js/cookienotice.js	C:/My%20Web%20Sites/new/www.orafactory.com/js/cookienotice.js	(from https://www.orafactory.com/)
05:47:38	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2001%20Dec%202024%2005:47:37%20GMT	https://i.postimg.cc/Kz5Xgf9B/menu.png	C:/My%20Web%20Sites/new/i.postimg.cc/Kz5Xgf9B/menu.png	(from https://www.orafactory.com/index.html)
05:47:38	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2001%20Dec%202024%2005:47:37%20GMT	https://i.postimg.cc/CL5yzjbn/prtlg.png	C:/My%20Web%20Sites/new/i.postimg.cc/CL5yzjbn/prtlg.png	(from https://www.orafactory.com/index.html)
05:47:38	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2001%20Dec%202024%2005:47:37%20GMT	https://i.postimg.cc/HxHtJpg2/Screenshot-2024-11-15-033513-removebg-preview.png	C:/My%20Web%20Sites/new/i.postimg.cc/HxHtJpg2/Screenshot-2024-11-15-033513-removebg-preview.png	(from https://www.orafactory.com/index.html)
05:47:38	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2001%20Dec%202024%2005:47:38%20GMT	https://i.postimg.cc/VNd5gryJ/best.png	C:/My%20Web%20Sites/new/i.postimg.cc/VNd5gryJ/best.png	(from https://www.orafactory.com/index.html)
05:47:39	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2001%20Dec%202024%2005:47:38%20GMT	https://i.postimg.cc/MKFCRvYP/started.png	C:/My%20Web%20Sites/new/i.postimg.cc/MKFCRvYP/started.png	(from https://www.orafactory.com/index.html)
05:47:39	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2001%20Dec%202024%2005:47:38%20GMT	https://i.postimg.cc/Tw0SPwwc/logo.png	C:/My%20Web%20Sites/new/i.postimg.cc/Tw0SPwwc/logo.png	(from https://www.orafactory.com/index.html)
